CountryCode,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ASM,SE.TER.ENRR,3.1246217488333334,2.9288897511666665,2.4500925542500003,2.661926269333333,2.9380408129999998,3.0761482716666664,8.716409803,3.2913916111666666,3.415694952,7.502856732000001,7.700270018000001,7.097303548666667,10.158466974,2.6494575735000003,2.323895872,2.7684147355,2.795954883,2.7499198317499998,2.50165623425,2.7932704690000003,24.1922922152,3.0486274955,2.760790765
ASM,SE.XPD.TOTL.GD.ZS,3.476513385666667,3.3883395193333334,2.7651450635000003,3.1788125036666663,3.389351527,3.440266609333333,14.7170496,3.5638432503333335,3.658659935,11.164923431000002,12.151539964000001,11.050757009333333,17.544453937,2.648735046,2.400551677,2.7309193609999998,2.833789706,2.7922495605,2.7474445105000003,3.014628649,45.6790244614,3.3259150980000003,3.0283116100000003
ATG,SE.TER.ENRR,3.8284050225,3.8477892875,3.08019757275,3.695698738,3.840662241,3.804384947,12.222394705749998,3.8362948895,3.9016249180000004,14.82699013,16.60280991,15.00421047,24.9304409,2.6480125185,2.477207482,2.6934239865,2.871624529,2.83457928925,2.99323278675,3.235986829,67.1657567076,3.6032027005000002,3.295832455
ATG,SE.XPD.TOTL.GD.ZS,4.180296659333333,4.307239055666667,3.395250082,4.2125849723333335,4.291972955,4.1685032846666665,9.7277398115,4.108746528666667,4.144589901,2.508889914,12.914579871,11.69218699,2.356193304,2.647289991,2.553863287,2.655928612,2.909459352,2.876909018,3.239021063,3.457345009,88.6524889538,3.880490303,3.5633533
AUS,SE.TER.ENRR,4.532188296166667,4.766688823833333,4.3515526055,4.729471206666666,4.743283669,4.532621622333333,7.233084917249999,4.381198167833333,4.387554884,3.7951048615,9.226349832,8.38016351,3.6114317180000004,3.9381901025,3.8592065575000003,119.67939,119.6827774,109.993309,103.3220901,109.7595596,110.1392212,112.6882935,11.205340386
AUS,SE.XPD.TOTL.GD.ZS,4.884079933,5.226138592,5.307855129,5.246357441,5.194594383,4.89673996,4.738430023,4.653649807,4.630519867,5.081319809,5.538119793,5.06814003,4.866670132,5.229090214,5.164549828,5.31551981,5.28689003,5.138229847,5.124310017,5.134290218,5.608449936,5.556048393,18.847327471999996
AUT,SE.TER.ENRR,5.23644495,5.400809288,5.414992571,5.304093838,5.248512268000001,5.073055029,4.982475042000001,63.80212021,66.19838715,67.99157715,75.04025269,77.26251221,79.54712677,80.96160126,81.0195694,82.25630951,82.8496933,83.83925629,85.86988831,86.32343292,88.7071991,93.94007111,26.489314557999993
AUT,SE.XPD.TOTL.GD.ZS,5.588809967,5.575479984,5.522130013,5.361830235,5.302430153,5.249370098,5.226520061,5.146900177,5.263959885,5.730249882,5.700479984,5.592269897,5.480400085,5.547110081,5.447619915,5.456580162,5.47961998,5.371590137,5.226550102,5.21750021,5.569009781,4.986499786,34.131301644
AZE,SE.TER.ENRR,4.7214000225,4.5394500495,4.338294983,4.323990107,4.3750650885,4.111995101,19.78945923,19.36459923,19.04788971,19.05771065,19.26004028,19.64731026,20.4384594,21.44042969,23.15973091,25.48320007,25.92642021,27.06740952,27.70849991,31.54019928,36.15219879,38.86608124,41.77328873
AZE,SE.XPD.TOTL.GD.ZS,3.853990078,3.503420115,3.154459953,3.286149979,3.447700024,2.974620104,2.555520058,2.549279928,2.44092989,3.224309921,2.780620098,2.435640097,2.067630053,2.442130089,2.633039951,2.951679945,2.903409958,2.473819971,2.455430031,3.176460028,4.332049847,3.702080011,2.904259443
