Board Number,Board Name,Elementary Male Enrolment,Elementary Female Enrolment,Secondary Male Enrolment,Secondary Female Enrolment,Total Male Enrolment,Total Female Enrolment,year
B66222,Hastings & Prince Edward DSB,5299 ,5049 ,2433 ,2299 ,7732 ,7348 ,2017 
B67016,Huron Perth CDSB,1630 ,1560 ,638 ,696 ,2268 ,2256 ,2017 
B29025,Huron-Superior CDSB,1844 ,1754 ,550 ,620 ,2394 ,2374 ,2017 
B15148,James Bay Lowlands SSB,,,77 ,86 ,77 ,86 ,2017 
B66079,Kawartha Pine Ridge DSB,11698 ,11109 ,4840 ,4676 ,16538 ,15785 ,2017 
B28045,Keewatin-Patricia DSB,1462 ,1381 ,1086 ,936 ,2548 ,2317 ,2017 
B29050,Kenora CDSB,523 ,521 ,188 ,187 ,711 ,708 ,2017 
B28061,Lakehead DSB,3136 ,2950 ,1405 ,1316 ,4541 ,4266 ,2017 
B66036,Lambton Kent DSB,7502 ,7091 ,3816 ,3515 ,11318 ,10606 ,2017 
B66206,Limestone DSB,6680 ,6375 ,3403 ,3227 ,10083 ,9602 ,2017 
B67032,London District Catholic School Board,6755 ,6425 ,3502 ,3260 ,10257 ,9685 ,2017 
B15199,Moose Factory Island DSAB,173 ,127 ,,,173 ,127 ,2017 
B15202,Moosonee DSAB,131 ,148 ,,,131 ,148 ,2017 
B28037,Near North DSB,3492 ,3177 ,1738 ,1544 ,5230 ,4721 ,2017 
B67156,Niagara CDSB,7330 ,7118 ,3655 ,3326 ,10985 ,10444 ,2017 
B29017,Nipissing-Parry Sound CDSB,953 ,903 ,405 ,404 ,1358 ,1307 ,2017 
B29009,Northeastern CDSB,951 ,871 ,228 ,218 ,1179 ,1089 ,2017 
B29041,Northwest CDSB,657 ,654 ,,,657 ,654 ,2017 
B67180,Ottawa CDSB,14652 ,13874 ,7140 ,6411 ,21792 ,20285 ,2017 
B66184,Ottawa-Carleton DSB,25100 ,23836 ,12353 ,12084 ,37453 ,35920 ,2017 
B66125,Peel DSB,59181 ,55070 ,22508 ,19571 ,81689 ,74641 ,2017 
B79910,Penetanguishene PSSB,142 ,148 ,,,142 ,148 ,2017 
B67067,Peterborough Victoria Northumberland Clarington CDSB,5206 ,5152 ,2485 ,2221 ,7691 ,7373 ,2017 
B28029,Rainbow DSB,4507 ,4116 ,2435 ,2178 ,6942 ,6294 ,2017 
B28053,Rainy River DSB,883 ,888 ,469 ,467 ,1352 ,1355 ,2017 
B67199,Renfrew County CDSB,1959 ,1731 ,547 ,550 ,2506 ,2281 ,2017 
B66214,Renfrew County DSB,3110 ,2852 ,1712 ,1523 ,4822 ,4375 ,2017 
B66109,Simcoe County DSB,18691 ,17775 ,8014 ,7560 ,26705 ,25335 ,2017 
B67091,Simcoe Muskoka CDSB,7478 ,6991 ,3524 ,3348 ,11002 ,10339 ,2017 
B67040,St Clair CDSB,3138 ,3055 ,1285 ,1287 ,4423 ,4342 ,2017 
B29033,Sudbury CDSB,2043 ,2012 ,1020 ,901 ,3063 ,2913 ,2017 
B29076,Superior North CDSB,385 ,323 ,,,385 ,323 ,2017 
B28070,Superior-Greenstone DSB,409 ,358 ,412 ,297 ,821 ,655 ,2017 
B66044,Thames Valley DSB,27715 ,26112 ,12220 ,11524 ,39935 ,37636 ,2017 
B29068,Thunder Bay CDSB,2782 ,2688 ,1175 ,1094 ,3957 ,3782 ,2017 
B67059,Toronto CDSB,31340 ,30218 ,14706 ,14919 ,46046 ,45137 ,2017 
B66052,Toronto DSB,88958 ,84009 ,38164 ,35250 ,127122 ,119259 ,2017 
B66087,Trillium Lakelands DSB,5634 ,5386 ,3008 ,2767 ,8642 ,8153 ,2017 
B66192,Upper Canada DSB,9246 ,8622 ,4799 ,4378 ,14045 ,13000 ,2017 
B66117,Upper Grand DSB,12083 ,11306 ,5914 ,5574 ,17997 ,16880 ,2017 
B67148,Waterloo CDSB,8047 ,7673 ,3532 ,3230 ,11579 ,10903 ,2017 
B66176,Waterloo Region DSB,22476 ,21577 ,10373 ,9578 ,32849 ,31155 ,2017 
B67130,Wellington CDSB,2842 ,2668 ,1263 ,1160 ,4105 ,3828 ,2017 
B67024,Windsor-Essex CDSB,6820 ,6271 ,3813 ,3510 ,10633 ,9781 ,2017 
B67075,York CDSB,18108 ,17538 ,9228 ,8854 ,27336 ,26392 ,2017 
B66095,York Region DSB,43596 ,40912 ,20934 ,19265 ,64530 ,60177 ,2017 
B28010,Algoma DSB,3395 ,3140 ,1735 ,1525 ,5130 ,4665 ,2018 
B67202,Algonquin and Lakeshore CDSB,4030 ,3915 ,1910 ,1895 ,5940 ,5810 ,2018 
B66010,Avon Maitland DSB,5195 ,5000 ,2835 ,2675 ,8030 ,7675 ,2018 
B66001,Bluewater DSB,6225 ,5975 ,2380 ,2140 ,8605 ,8115 ,2018 
B67164,Brant Haldimand Norfolk CDSB,3375 ,3290 ,1820 ,1805 ,5195 ,5095 ,2018 
B67008,Bruce-Grey CDSB,1515 ,1440 ,845 ,800 ,2360 ,2245 ,2018 
B67172,CDSB of Eastern Ontario,4575 ,4310 ,1965 ,1940 ,6540 ,6250 ,2018 
B66303,CS Viamonde,5035 ,5450 ,975 ,1105 ,6010 ,6555 ,2018 
B67318,CS catholique MonAvenir,6585 ,7090 ,1550 ,1780 ,8135 ,8870 ,2018 
B28118,CS public du Grand Nord de l'Ontario,965 ,905 ,340 ,305 ,1305 ,1210 ,2018 
B28100,CSD du Nord-Est de l'Ontario,830 ,895 ,205 ,210 ,1035 ,1105 ,2018 
B29114,CSDC Franco-Nord,945 ,990 ,390 ,425 ,1335 ,1415 ,2018 
B67326,CSDC de l'Est ontarien,3705 ,3780 ,1340 ,1295 ,5045 ,5070 ,2018 
B29130,CSDC des Aurores boréales,345 ,360 ,60 ,70 ,405 ,430 ,2018 
B29106,CSDC des Grandes Rivières,2005 ,2085 ,805 ,845 ,2810 ,2935 ,2018 
B67334,CSDC du Centre-Est de l'Ontario,9250 ,9565 ,2820 ,2880 ,12070 ,12445 ,2018 
B29122,CSDC du Nouvel-Ontario,2440 ,2525 ,800 ,890 ,3240 ,3420 ,2018 
B67300,Conseil scolaire catholique Providence,3925 ,4240 ,895 ,1055 ,4825 ,5295 ,2018 
B66311,CÉP de l'Est de l'Ontario,5995 ,6185 ,1855 ,2030 ,7850 ,8215 ,2018 
B66150,DSB Niagara,13145 ,12435 ,6335 ,5815 ,19480 ,18250 ,2018 
B28002,DSB Ontario North East,2130 ,2050 ,1325 ,1135 ,3460 ,3185 ,2018 
B67083,Dufferin-Peel CDSB,25050 ,23835 ,16000 ,15405 ,41050 ,39240 ,2018 
B67105,Durham CDSB,7670 ,7240 ,3300 ,3170 ,10970 ,10415 ,2018 
B66060,Durham DSB,25475 ,24360 ,11105 ,10210 ,36580 ,34570 ,2018 
B66168,Grand Erie DSB,9255 ,8740 ,4505 ,4005 ,13760 ,12745 ,2018 
B66028,Greater Essex County DSB,12835 ,11950 ,6185 ,5635 ,19020 ,17585 ,2018 
B67113,Halton CDSB,11955 ,11260 ,6700 ,6100 ,18650 ,17360 ,2018 
B66133,Halton DSB,23340 ,22265 ,10290 ,9385 ,33630 ,31650 ,2018 
B67121,Hamilton-Wentworth CDSB,9645 ,9175 ,5490 ,5395 ,15140 ,14570 ,2018 
B66141,Hamilton-Wentworth DSB,18545 ,17355 ,7440 ,6710 ,25985 ,24065 ,2018 
B66222,Hastings & Prince Edward DSB,5315 ,5055 ,2415 ,2295 ,7730 ,7350 ,2018 
B67016,Huron Perth CDSB,1640 ,1615 ,665 ,710 ,2305 ,2325 ,2018 
B29025,Huron-Superior CDSB,1865 ,1750 ,505 ,575 ,2370 ,2325 ,2018 
B15148,James Bay Lowlands SSB,,,90 ,75 ,90 ,75 ,2018 
B66079,Kawartha Pine Ridge DSB,12010 ,11320 ,4845 ,4745 ,16855 ,16065 ,2018 
B28045,Keewatin-Patricia DSB,1455 ,1395 ,1075 ,900 ,2535 ,2290 ,2018 
B29050,Kenora CDSB,520 ,500 ,195 ,205 ,715 ,700 ,2018 
B28061,Lakehead DSB,3210 ,2975 ,1380 ,1270 ,4590 ,4245 ,2018 
B66036,Lambton Kent DSB,7490 ,7175 ,3890 ,3475 ,11380 ,10650 ,2018 
B66206,Limestone DSB,6780 ,6405 ,3410 ,3140 ,10185 ,9545 ,2018 
B67032,London District Catholic School Board,7090 ,6735 ,3630 ,3350 ,10720 ,10085 ,2018 
B15199,Moose Factory Island DSAB,170 ,135 ,,,170 ,135 ,2018 
B15202,Moosonee DSAB,125 ,135 ,,,125 ,135 ,2018 
B28037,Near North DSB,3475 ,3225 ,1720 ,1525 ,5195 ,4745 ,2018 
B67156,Niagara CDSB,7285 ,7075 ,3575 ,3235 ,10865 ,10310 ,2018 
B29017,Nipissing-Parry Sound CDSB,940 ,900 ,415 ,415 ,1355 ,1320 ,2018 
B29009,Northeastern CDSB,965 ,910 ,220 ,210 ,1185 ,1120 ,2018 
B29041,Northwest CDSB,645 ,625 ,,,645 ,625 ,2018 
B67180,Ottawa CDSB,15105 ,14440 ,7295 ,6635 ,22400 ,21075 ,2018 
B66184,Ottawa-Carleton DSB,25520 ,24015 ,12700 ,12485 ,38220 ,36500 ,2018 
B66125,Peel DSB,59405 ,55695 ,22655 ,19835 ,82060 ,75530 ,2018 
B79910,Penetanguishene PSSB,170 ,175 ,,,170 ,175 ,2018 
B67067,Peterborough Victoria Northumberland and Clarington CDSB,5190 ,5165 ,2495 ,2220 ,7680 ,7385 ,2018 
B28029,Rainbow DSB,4670 ,4195 ,2395 ,2140 ,7065 ,6340 ,2018 
B28053,Rainy River DSB,875 ,865 ,465 ,460 ,1340 ,1320 ,2018 
B67199,Renfrew County CDSB,1985 ,1750 ,580 ,550 ,2570 ,2300 ,2018 
B66214,Renfrew County DSB,3095 ,2840 ,1665 ,1515 ,4755 ,4355 ,2018 
B66109,Simcoe County DSB,19185 ,18020 ,8055 ,7640 ,27240 ,25665 ,2018 
B67091,Simcoe Muskoka CDSB,7600 ,7180 ,3560 ,3410 ,11160 ,10590 ,2018 
B67040,St Clair CDSB,3090 ,3025 ,1290 ,1310 ,4380 ,4330 ,2018 
B29033,Sudbury CDSB,2095 ,2010 ,940 ,875 ,3035 ,2885 ,2018 
B29076,Superior North CDSB,360 ,310 ,,,360 ,310 ,2018 
B28070,Superior-Greenstone DSB,405 ,365 ,390 ,285 ,800 ,650 ,2018 
B66044,Thames Valley DSB,28365 ,26715 ,12275 ,11615 ,40640 ,38330 ,2018 
B29068,Thunder Bay CDSB,2785 ,2685 ,1140 ,1050 ,3930 ,3735 ,2018 
B67059,Toronto CDSB,31865 ,30850 ,14540 ,14665 ,46400 ,45515 ,2018 
B66052,Toronto DSB,89295 ,84190 ,37680 ,35230 ,126975 ,119420 ,2018 
B66087,Trillium Lakelands DSB,5710 ,5370 ,2965 ,2720 ,8675 ,8090 ,2018 
B66192,Upper Canada DSB,9225 ,8600 ,4790 ,4385 ,14015 ,12990 ,2018 
B66117,Upper Grand DSB,12320 ,11425 ,5940 ,5570 ,18260 ,16995 ,2018 
B67148,Waterloo CDSB,8360 ,7925 ,3595 ,3355 ,11955 ,11280 ,2018 
B66176,Waterloo Region DSB,22820 ,21790 ,10535 ,9770 ,33355 ,31560 ,2018 
B67130,Wellington CDSB,2950 ,2715 ,1230 ,1190 ,4180 ,3905 ,2018 
B67024,Windsor-Essex CDSB,6900 ,6420 ,3835 ,3520 ,10735 ,9940 ,2018 
B67075,York CDSB,17705 ,17170 ,9195 ,8840 ,26905 ,26010 ,2018 
B66095,York Region DSB,44270 ,41700 ,21320 ,19665 ,65590 ,61365 ,2018 
B28010,Algoma DSB,3485 ,3175 ,1700 ,1560 ,5185 ,4735 ,2019 
B67202,Algonquin and Lakeshore CDSB,4070 ,3915 ,1955 ,1975 ,6025 ,5890 ,2019 
B66010,Avon Maitland DSB,5220 ,5025 ,2680 ,2525 ,7905 ,7550 ,2019 
B66001,Bluewater DSB,6355 ,6140 ,2340 ,2130 ,8695 ,8265 ,2019 
B67164,Brant Haldimand Norfolk CDSB,3460 ,3400 ,1895 ,1810 ,5350 ,5210 ,2019 
B67008,Bruce-Grey CDSB,1515 ,1465 ,850 ,810 ,2365 ,2275 ,2019 
B67172,CDSB of Eastern Ontario,4670 ,4545 ,2000 ,1945 ,6670 ,6490 ,2019 
B66303,CS Viamonde,5275 ,5525 ,1045 ,1150 ,6325 ,6675 ,2019 
B67318,CS catholique MonAvenir,6540 ,7155 ,1670 ,1885 ,8210 ,9040 ,2019 
B28118,CS public du Grand Nord de l'Ontario,1000 ,980 ,360 ,300 ,1360 ,1275 ,2019 
B28100,CSD du Nord-Est de l'Ontario,880 ,905 ,185 ,195 ,1060 ,1100 ,2019 
B29114,CSDC Franco-Nord,975 ,980 ,355 ,415 ,1330 ,1395 ,2019 
B67326,CSDC de l'Est ontarien,3795 ,3835 ,1330 ,1295 ,5125 ,5125 ,2019 
B29130,CSDC des Aurores boréales,345 ,375 ,70 ,65 ,415 ,440 ,2019 
B29106,CSDC des Grandes Rivières,2020 ,2075 ,765 ,865 ,2785 ,2940 ,2019 
B67334,CSDC du Centre-Est de l'Ontario,9550 ,9880 ,2960 ,3070 ,12510 ,12950 ,2019 
B29122,CSDC du Nouvel-Ontario,2400 ,2495 ,795 ,865 ,3195 ,3360 ,2019 
B67300,Conseil scolaire catholique Providence,3890 ,4205 ,950 ,1085 ,4840 ,5285 ,2019 
B66311,CÉP de l'Est de l'Ontario,6315 ,6465 ,1910 ,2110 ,8225 ,8570 ,2019 
B66150,DSB Niagara,13525 ,12610 ,6260 ,5790 ,19785 ,18405 ,2019 
B28002,DSB Ontario North East,2185 ,2030 ,1295 ,1090 ,3480 ,3120 ,2019 
B67083,Dufferin-Peel CDSB,24500 ,23590 ,15755 ,15115 ,40255 ,38710 ,2019 
B67105,Durham CDSB,7735 ,7335 ,3330 ,3260 ,11065 ,10595 ,2019 
B66060,Durham DSB,25955 ,24890 ,11095 ,10270 ,37050 ,35160 ,2019 
B66168,Grand Erie DSB,9315 ,9015 ,4355 ,3880 ,13670 ,12895 ,2019 
B66028,Greater Essex County DSB,12925 ,12085 ,6200 ,5610 ,19125 ,17695 ,2019 
B67113,Halton CDSB,12185 ,11380 ,6935 ,6335 ,19120 ,17715 ,2019 
B66133,Halton DSB,23520 ,22565 ,10440 ,9635 ,33960 ,32205 ,2019 
B67121,Hamilton-Wentworth CDSB,9800 ,9355 ,5615 ,5435 ,15415 ,14790 ,2019 
B66141,Hamilton-Wentworth DSB,18890 ,17730 ,7395 ,6540 ,26285 ,24270 ,2019 
B66222,Hastings & Prince Edward DSB,5315 ,5060 ,2350 ,2260 ,7665 ,7315 ,2019 
B67016,Huron Perth CDSB,1700 ,1605 ,620 ,735 ,2320 ,2340 ,2019 
B29025,Huron-Superior CDSB,1860 ,1740 ,485 ,515 ,2345 ,2260 ,2019 
B15148,James Bay Lowlands SSB,,,95 ,85 ,95 ,85 ,2019 
B66079,Kawartha Pine Ridge DSB,12275 ,11605 ,4855 ,4655 ,17130 ,16260 ,2019 
B28045,Keewatin-Patricia DSB,1505 ,1425 ,1010 ,880 ,2515 ,2305 ,2019 
B29050,Kenora CDSB,485 ,495 ,185 ,180 ,675 ,675 ,2019 
B28061,Lakehead DSB,3205 ,2960 ,1365 ,1220 ,4570 ,4175 ,2019 
B66036,Lambton Kent DSB,7550 ,7195 ,3745 ,3395 ,11290 ,10590 ,2019 
B66206,Limestone DSB,6800 ,6535 ,3355 ,3090 ,10155 ,9625 ,2019 
B67032,London District Catholic School Board,7295 ,6925 ,3805 ,3460 ,11100 ,10380 ,2019 
B15199,Moose Factory Island DSAB,160 ,135 ,,,160 ,135 ,2019 
B15202,Moosonee DSAB,130 ,140 ,,,130 ,140 ,2019 
B28037,Near North DSB,3450 ,3230 ,1680 ,1490 ,5130 ,4715 ,2019 
B67156,Niagara CDSB,7240 ,6980 ,3455 ,3185 ,10695 ,10165 ,2019 
B29017,Nipissing-Parry Sound CDSB,955 ,925 ,445 ,420 ,1400 ,1345 ,2019 
B29009,Northeastern CDSB,940 ,920 ,215 ,185 ,1150 ,1105 ,2019 
B29041,Northwest CDSB,645 ,610 ,,,645 ,610 ,2019 
B67180,Ottawa CSB,15595 ,14990 ,7480 ,6750 ,23075 ,21740 ,2019 
B66184,Ottawa-Carleton DSB,25990 ,24325 ,12660 ,12215 ,38650 ,36545 ,2019 
B66125,Peel DSB,59630 ,55660 ,22765 ,19900 ,82395 ,75560 ,2019 
B79910,Penetanguishene PSSB,190 ,180 ,,,190 ,180 ,2019 
B67067,Peterborough Victoria Northumberland and Clarington CDSB,5145 ,5160 ,2440 ,2205 ,7585 ,7365 ,2019 
