CountryCode,IndicatorCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BEN,NY.GDP.MKTP.CD,3519991440,3666222634,4194342689,5349258093,6190270377,6567654959,7034111316,8169048375,9787734517,9738626510,9535345011,10693321370,11141358106,12517845128,13284527850,11388160997,11821065852,12701655846,14262408080,14391686309,15651545209,17690083520,17401746309
BEN,SE.TER.ENRR,3.626980066,4.366250038,5.131989956,5.664629936,5.719069958,5.651529789,6.476439953,7.758989811,7.663949966,9.749509811,13.13516998,12.28221989,13.3533802,15.31023979,15.19659042,12.90738964,12.36170959,11.7388401,12.00706005,10.7973299,10.80247974,,
BFA,NY.GDP.MKTP.CD,2968370087,3190371080,3622350066,4740768141,5451688535,6146353177,6547419822,7625722829,9451435481,9450696866,10109619736,12080295985,12561015145,13444300490,13943016080,11832159316,12833363044,14106955625,15890066210,16178161666,17933606213,19737616003,18884619613
BFA,SE.TER.ENRR,,1.122230053,1.351220012,1.51733005,,2.160830021,2.274600029,2.420680046,2.944710016,3.281110048,3.367259979,3.943500042,4.367239952,4.602379799,4.922639847,4.926290035,5.426300049,5.856659889,6.346660137,6.93696022,7.683710098,9.36093998,9.730079651
BGD,NY.GDP.MKTP.CD,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.65E+11,2.94E+11,3.21E+11,3.51E+11,3.74E+11,4.16E+11,4.60E+11
BGD,SE.TER.ENRR,5.46036005,6.424399853,6.135369778,6.196889877,5.728839874,6.295829773,7.241710186,7.867129803,8.842450142,10.81634998,,13.57241726,13.66753769,13.65109444,13.65344143,15.59071636,17.40217972,18.53050804,19.70263672,22.80521393,22.5388546,23.40016747,22.8396492
BGR,NY.GDP.MKTP.CD,13245990274,14183443862,16403043850,21144962058,26157744753,29868651533,34380543845,44432811756,54480697770,52023813558,50754203891,57735709914,54290156342,55844245264,57159557805,50828088836,53987487124,59343060706,66399602077,68911930628,70404359049,84061395658,89040398406
BGR,SE.TER.ENRR,42.33982849,41.04077911,41.42900848,42.85361099,43.69356918,46.22526932,47.79483032,51.24034119,52.6504097,55.00836945,58.35485077,59.82468033,62.16165161,65.39308167,69.58660126,74.04489136,75.47485352,76.07991791,76.23020935,75.33709717,74.37622833,74.02764893,
BHR,NY.GDP.MKTP.CD,9062898936,8976196809,9593510638,11074813830,13150159574,15968723404,18504760638,21730000000,25710904255,22938218085,25713271277,28776595745,30749308511,32539468085,33387712766,31050638298,32234973404,35473776596,37802005319,38653318085,34621807713,39303403989,44390820479
BHR,SE.TER.ENRR,,,,29.35186005,,22.49832916,19.71946907,,,,,46.54248047,47.36331177,42.9303894,44.15161896,43.63837814,43.66530991,45.18643951,48.53865814,53.6918602,56.63399887,70.76303101,77.24449158
BHS,NY.GDP.MKTP.CD,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10562800000,11176100000,11672900000,11750800000,12253500000,12653600000,13058700000,9754600000,11527600000,12897400000
BHS,SE.TER.ENRR,,,,,,,,,,,,,,,,,,,,,,,
BIH,NY.GDP.MKTP.CD,5567774049,5800616572,6728219507,8498893358,10156541358,11222796197,12864842269,15778737117,19112801197,17613946109,17176320823,18644239028,17226736285,18179104549,18558731213,16404352156,17116926092,18326376394,20484048416,20482603346,20226030731,23649566069,24527507288
BIH,SE.TER.ENRR,15.81035042,17.20630074,17.40880966,19.21743965,21.41006088,24.66474915,27.6716404,31.39005089,34.59167862,36.37216187,37.24497986,39.77563095,41.87559128,47.26282883,48.98524857,48.62343979,48.66814041,46.41592026,43.15710831,41.59703827,40.88134003,43.57767868,44.63267136
BLR,NY.GDP.MKTP.CD,12736856828,12354820144,14594928109,17825437483,23141593074,30210091837,36961822468,45275747157,60752177439,50873181572,57231904543,61762340943,65685903570,75527537703,78812785768,56454895055,47723549319,54725311690,60031163987,64410112583,61371755326,69673747132,72793457588
BLR,SE.TER.ENRR,51.8044014,54.3443718,56.87300873,59.4798317,60.8694191,63.72211075,66.49044037,69.53462982,70.50710297,75.90174866,82.66927338,91.2559967,98.59739685,101.4243927,99.8547287,98.0328598,94.75534058,91.32614899,84.53964233,80.17201996,76.89089203,73.95913696,70.86756897
BLZ,NY.GDP.MKTP.CD,1116000000,1163000000,1233000000,1298000000,1389500000,1461500000,1581000000,1696000000,1729000000,1680500000,1738500000,1819500000,1903000000,2029500000,2138000000,2210500000,2258500000,2286000000,2315000000,2416500000,2080000000,2491500000,2824081836
BLZ,SE.TER.ENRR,,15.09313011,16.98032951,16.18568039,15.59430981,16.05211067,16.87715912,17.88644981,18.74390984,21.97496986,21.44364929,21.42178917,23.87542915,23.85310936,23.86413956,23.27388954,24.31962967,24.77198982,24.64558983,25.0688591,25.70165062,23.51840019,23.7802906
BMU,NY.GDP.MKTP.CD,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,6980000000,6656000000,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7225977000,7423465000,6887147000,7127200000,7550500000
BMU,SE.TER.ENRR,,,,,,,33.18680954,30.4764595,31.50605965,39.84830856,37.23591995,38.69731903,38.27492905,37.13845825,35.09661102,31.94352913,,22.4178009,22.86447906,,,,
